           0  3.3626040E-03
           1  2.2296421E-03
           2  1.6810712E-03
           3  1.4158331E-03
           4  1.2670925E-03
           5  1.1769534E-03
           6  1.1194049E-03
           7  1.0810044E-03
           8  1.0544050E-03
           9  1.0353916E-03
          10  1.0214922E-03
          11  1.0111157E-03
          12  1.0032203E-03
          13  9.9707826E-04
          14  9.9222537E-04
          15  9.8836957E-04
          16  9.8526059E-04
          17  9.8272320E-04
          18  9.8061969E-04
          19  9.7887614E-04
          20  9.7741233E-04
          21  9.7615714E-04
          22  9.7507471E-04
          23  9.7413349E-04
          24  9.7331556E-04
          25  9.7260438E-04
